property_type,region,area_m2,price_usd,lat,lon,state
apartment,Northeast,186,405666.85,-38.486431,-38.486431,Bahia
apartment,Northeast,128,140423.14,-38.528343,-38.528343,Bahia
apartment,Northeast,139,249641.14,-38.45739,-38.45739,Bahia
apartment,Northeast,182,436871.99,-38.532276,-38.532276,Bahia
apartment,Northeast,139,249641.14,-38.45739,-38.45739,Bahia
apartment,Northeast,182,436871.99,-38.532276,-38.532276,Bahia
apartment,Northeast,204,452474.56,-38.486099,-38.486099,Bahia
apartment,Northeast,204,468077.13,-38.486099,-38.486099,Bahia
apartment,Northeast,82,131061.59,-38.510612,-38.510612,Bahia
apartment,Northeast,82,131061.59,-38.510612,-38.510612,Bahia
apartment,Northeast,110,93615.42,-38.444553,-38.444553,Bahia
apartment,Northeast,106,185670.59,-38.3556842,-38.3556842,Bahia
apartment,Northeast,63,109217.99,-38.431091,-38.431091,Bahia
apartment,Northeast,110,93615.42,-38.444553,-38.444553,Bahia
apartment,Northeast,106,185670.59,-38.3556842,-38.3556842,Bahia
apartment,Northeast,63,109217.99,-38.431091,-38.431091,Bahia
apartment,Northeast,67,112338.51,-38.486305,-38.486305,Bahia
apartment,Northeast,88,121700.05,-38.469273,-38.469273,Bahia
apartment,Northeast,88,121700.05,-38.469273,-38.469273,Bahia
apartment,Northeast,133,199182.42,-38.395287,-38.395287,Bahia
apartment,Northeast,67,106097.48,-38.381538,-38.381538,Bahia
apartment,Northeast,82,127941.08,-38.381538,-38.381538,Bahia
apartment,Northeast,67,106097.48,-38.381538,-38.381538,Bahia
apartment,Northeast,110,215315.48,-38.45739,-38.45739,Bahia
apartment,Northeast,112,196592.39,-38.526047,-38.526047,Bahia
apartment,Northeast,53,90800.72,-38.469273,-38.469273,Bahia
apartment,Northeast,60,96735.94,-38.498463,-38.498463,Bahia
house,Northeast,200,249641.14,-38.42057,-38.42057,Bahia
apartment,Northeast,79,156457.9,-38.43898,-38.43898,Bahia
apartment,Northeast,103,252888.97,-38.52309,-38.52309,Bahia
apartment,Northeast,90,158740.56,-38.436806,-38.436806,Bahia
apartment,Northeast,84,146664.17,-38.45739,-38.45739,Bahia
apartment,Northeast,59,130749.54,-38.489021,-38.489021,Bahia
apartment,Northeast,97,193471.88,-38.45739,-38.45739,Bahia
apartment,Northeast,110,152905.19,-38.450443,-38.450443,Bahia
apartment,Northeast,84,146664.17,-38.45739,-38.45739,Bahia
apartment,Northeast,59,130749.54,-38.489021,-38.489021,Bahia
apartment,Northeast,115,288335.51,-38.489021,-38.489021,Bahia
apartment,Northeast,113,101416.71,-39.029541,-39.029541,Bahia
apartment,Northeast,109,160706.48,-39.041534,-39.041534,Bahia
apartment,Northeast,112,90494.91,-40.820404,-40.820404,Bahia
house,Northeast,190,106097.48,-39.02878,-39.02878,Bahia
house,Northeast,130,84253.88,-44.995347,-44.995347,Bahia
house,Northeast,80,468077.13,-38.466591,-38.466591,Bahia
apartment,Northeast,70,133462.52,-38.435036,-38.435036,Bahia
apartment,Northeast,65,102641.2,-38.362667,-38.362667,Bahia
apartment,Northeast,67,86296.26,-44.992315,-44.992315,Bahia
house,Northeast,145,78012.85,-45.009677,-45.009677,Bahia
house,Northeast,96,202833.42,-39.065332,-39.065332,Bahia
apartment,Northeast,86,132683.01,-39.03495,-39.03495,Bahia
house,Northeast,110,109217.99,-39.026514,-39.026514,Bahia
apartment,Northeast,75,76452.59,-39.026431,-39.026431,Bahia
apartment,Northeast,113,102581.9,-39.029541,-39.029541,Bahia
house,Northeast,114,95487.73,-39.028789,-39.028789,Bahia
apartment,Northeast,58,91811.77,-39.025423,-39.025423,Bahia
apartment,Northeast,132,78012.85,-45.012824,-45.012824,Bahia
apartment,Northeast,84,122636.21,-39.03628,-39.03628,Bahia
house,Northeast,110,90494.91,-45.0016,-45.0016,Bahia
apartment,Northeast,96,87374.39,-44.996502,-44.996502,Bahia
house,Northeast,182,109217.99,-39.02878,-39.02878,Bahia
house,Northeast,136,101416.71,-39.02878,-39.02878,Bahia
apartment,Northeast,194,102976.97,-44.990957,-44.990957,Bahia
apartment,Northeast,220,405666.85,-38.486305,-38.486305,Bahia
apartment,Northeast,220,405666.85,-38.486305,-38.486305,Bahia
apartment,Northeast,142,343256.56,-38.40873,-38.40873,Bahia
apartment,Northeast,108,168507.77,-38.45739,-38.45739,Bahia
apartment,Northeast,108,168507.77,-38.45739,-38.45739,Bahia
apartment,Northeast,74,102976.97,-38.510612,-38.510612,Bahia
apartment,Northeast,140,140423.14,-38.481541,-38.481541,Bahia
apartment,Northeast,94,165387.25,-38.512382,-38.512382,Bahia
apartment,Northeast,67,140423.14,-38.456074,-38.456074,Bahia
apartment,Northeast,140,140423.14,-38.481541,-38.481541,Bahia
apartment,Northeast,60,117647.44,-38.492218,-38.492218,Bahia
apartment,Northeast,110,126968.0,-38.438103,-38.438103,Bahia
apartment,Northeast,105,218435.99,-38.45739,-38.45739,Bahia
apartment,Northeast,110,126968.0,-38.438103,-38.438103,Bahia
apartment,Northeast,105,218435.99,-38.45739,-38.45739,Bahia
apartment,Northeast,115,143543.65,-38.45739,-38.45739,Bahia
apartment,Northeast,115,143543.65,-38.45739,-38.45739,Bahia
